,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55,,4.66,,7.63,,0.14,,5.98,,7.57,,4.26,,6.37,,4.13,,1.28,,1.60,,0.83,
Latvia,,,,,951.70,,108.99,,35.92,,24.98,,17.61,,8.45,,4.64,,2.36,,2.65,,2.49,,1.94,,2.94,,6.19,,6.75,,6.54,,10.09,,15.40,,3.53,,-1.08,,4.37,,2.26,,-0.03,,0.62,,0.17,,0.14,,2.93,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,,3.98,,4.97,,6.58,,4.82,,1.85,,-3.75,,-0.78,,4.32,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,,8.01,,10.72,,7.38,,3.60,,4.99,,6.13,,4.97,,5.31,,3.17,,6.60,,5.32,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39,,17.49,,7.43,,7.29,,8.49,,6.83,,7.58,,9.86,,7.75,,8.83,,12.42,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.52,,6.06,,2.61,,,,,,,,,
Lithuania,,,,,,,,,72.25,,39.65,,24.63,,8.88,,5.07,,0.73,,0.98,,1.37,,0.28,,-1.13,,1.16,,2.66,,3.74,,5.74,,10.93,,4.45,,1.32,,4.13,,3.09,,1.05,,0.10,,-0.88,,0.91,,3.72,
Luxembourg,3.25,,3.12,,3.15,,3.59,,2.19,,1.87,,1.18,,1.37,,0.96,,1.03,,3.15,,2.66,,2.07,,2.05,,2.23,,2.49,,2.67,,2.31,,3.40,,0.37,,2.27,,3.41,,2.66,,1.73,,0.63,,0.47,,0.29,,1.73,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,7.92,,16.50,,-1.70,,13.96,,18.36,,10.77,,10.29,,9.30,,8.95,,9.25,,9.48,,5.71,,5.83,,6.08,,7.40,,6.65,,8.28,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,,21.27,,27.28,,23.79,,21.87,,21.71,,11.54,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,1.42,,1.81,,1.09,,1.42,,2.98,,3.61,,2.03,,5.44,,0.58,,1.62,,3.17,,1.66,,2.11,,3.14,,2.10,,2.09,,3.87,
Maldives,,,,,,,,,,,,,,,,,,,,,,,0.67,,4.18,,-1.26,,-1.69,,1.30,,2.74,,6.79,,12.04,,4.53,,6.15,,11.27,,10.88,,3.81,,2.12,,0.95,,0.50,,2.82,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,,5.32,,-0.61,,0.88,,1.45,,-1.80,,1.76,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,1.25,,4.26,,2.08,,1.52,,2.96,,2.38,,1.18,,0.31,,1.10,,0.64,,1.36,
Martinique,,,,,,,,,,,,,,,,,,,,,,,2.02,,2.17,,2.06,,2.01,,2.44,,2.43,,2.44,,2.76,,-0.35,,1.62,,2.56,,1.48,,1.24,,0.76,,0.14,,-0.25,,0.56,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69,,4.90,,4.13,,3.53,,3.25,,1.47,,2.25,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,5.39,,6.42,,3.92,,4.71,,4.94,,8.91,,8.83,,9.73,,2.52,,2.93,,6.52,,3.85,,3.54,,3.22,,1.29,,0.98,,3.67,
Mexico,26.65,,22.66,,15.51,,9.75,,6.97,,35.00,,34.38,,20.63,,15.93,,16.59,,9.49,,6.37,,5.03,,4.55,,4.69,,3.99,,3.63,,3.97,,5.12,,5.30,,4.16,,3.41,,4.11,,3.81,,4.02,,2.72,,2.82,,6.04,
"Micronesia, Federated States of",,,,,,,,,,,,,,,,,,,,,2.16,,0.50,,-0.11,,0.13,,2.28,,4.26,,4.64,,3.31,,8.42,,6.39,,3.31,,5.08,,5.02,,1.75,,0.65,,-0.30,,-1.04,,0.52,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,,27.97,,7.59,,10.08,,8.41,,14.32,,10.49,,12.23,,6.58,,1.06,,4.05,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,1.16,,3.10,,2.67,,1.93,,2.71,,4.90,,2.79,,2.09,,3.67,,4.77,,0.87,,-0.38,,-1.15,,-0.23,,1.18,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,0.97,,0.99,,0.91,,1.29,,1.88,,0.44,,1.56,,1.64,,0.75,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,,13.25,,,,7.44,,3.79,,12.43,,11.17,,2.60,,4.26,,2.56,,3.55,,17.42,,15.11,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,,1.47,,5.48,,5.05,,9.49,,6.96,,4.57,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,,6.72,,5.60,,5.35,,3.40,,6.73,,6.14,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,9.91,,11.09,,9.33,,9.23,,9.46,,9.04,,8.36,,7.87,,8.79,,3.63,
Netherlands,2.45,,3.16,,3.18,,2.58,,2.80,,1.92,,2.11,,2.11,,1.96,,2.16,,2.36,,4.16,,3.29,,2.09,,1.26,,1.69,,1.10,,1.61,,2.49,,1.19,,1.28,,2.34,,2.46,,2.51,,0.98,,0.60,,0.32,,1.38,
New Zealand,6.10,,2.60,,1.01,,1.29,,1.75,,3.75,,2.29,,1.19,,1.27,,-0.11,,2.62,,2.63,,2.68,,1.75,,2.29,,3.04,,3.37,,2.38,,3.96,,2.12,,2.30,,4.03,,1.06,,1.13,,1.23,,0.29,,0.65,,1.85,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14,,11.13,,19.83,,3.69,,5.46,,8.08,,7.19,,7.14,,6.04,,4.00,,3.52,,3.85,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,0.46,,2.30,,-0.93,,-0.58,,1.65,,2.80,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84,,12.22,,8.48,,8.06,,9.01,,15.68,,16.52,
"North Macedonia, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,-0.45,,0.53,,3.21,,2.25,,8.33,,-0.74,,1.51,,3.90,,3.32,,2.78,,-0.28,,-0.30,,-0.24,,1.35,
Norway,4.13,,3.44,,2.33,,2.29,,1.38,,2.46,,1.26,,2.57,,2.25,,2.37,,3.09,,3.00,,1.29,,2.49,,0.45,,1.53,,2.33,,0.71,,3.75,,2.20,,2.42,,1.28,,0.70,,2.12,,2.04,,2.17,,3.55,,1.88,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,-0.28,,0.23,,0.62,,1.91,,3.54,,5.83,,12.38,,3.47,,3.26,,4.04,,2.95,,1.05,,1.02,,0.07,,1.11,,1.60,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92,,9.68,,7.69,,7.19,,2.53,,3.77,,4.09,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,-1.30,,0.92,,4.96,,3.95,,4.43,,3.24,,11.97,,1.44,,1.44,,4.67,,3.61,,3.35,,4.19,,0.95,,-1.04,,1.28,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,4.17,,8.76,,2.41,,3.49,,5.88,,5.70,,4.03,,2.63,,0.13,,0.74,,0.88,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,,4.54,,4.96,,5.22,,6.00,,6.67,,5.42,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59,,8.13,,10.15,,2.59,,4.65,,8.25,,3.68,,2.68,,5.03,,3.13,,4.09,,3.60,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,,3.66,,2.81,,3.24,,3.55,,3.59,,2.80,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,,3.03,,2.58,,3.60,,0.67,,1.25,,2.85,
Poland,567.88,,76.77,,46.10,,36.96,,32.99,,27.95,,19.79,,14.91,,11.60,,7.15,,9.90,,5.41,,1.91,,0.68,,3.38,,2.18,,1.28,,2.46,,4.16,,3.80,,2.58,,4.24,,3.56,,0.99,,0.05,,-0.87,,-0.66,,2.08,
Portugal,13.63,,11.85,,9.56,,6.78,,5.42,,4.22,,3.07,,2.34,,2.57,,2.34,,2.85,,4.37,,3.60,,3.22,,2.37,,2.28,,3.11,,2.45,,2.59,,-0.84,,1.40,,3.65,,2.77,,0.27,,-0.28,,0.49,,0.61,,1.37,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,2.32,,3.21,,3.35,,1.61,,2.87,,0.41,
Romania,,,,,,,,,,,,,,,,,,,,,,,34.48,,22.54,,15.27,,11.87,,9.01,,6.56,,4.84,,7.85,,5.59,,6.09,,5.79,,3.33,,3.98,,1.07,,-0.59,,-1.54,,1.34,
Russian Federation,,,,,,,874.25,,307.72,,197.41,,47.75,,14.76,,27.69,,85.75,,20.80,,21.48,,15.79,,13.66,,10.89,,12.69,,9.67,,9.01,,14.11,,11.65,,6.85,,8.44,,5.07,,6.75,,7.82,,15.53,,7.04,,3.68,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01,,8.88,,9.08,,15.44,,12.89,,-0.25,,3.08,,10.27,,5.92,,2.35,,2.53,,7.17,,8.28,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70,,5.58,,11.57,,6.32,,0.78,,5.20,,2.05,,0.61,,-0.41,,0.72,,1.31,,1.75,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90,,2.83,,1.60,,1.11,,0.15,,0.57,,1.05,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33,,10.64,,8.11,,7.00,,5.25,,5.43,,5.69,
Saudi Arabia,,,,,,,,,,,,,1.22,,0.06,,-0.37,,-1.33,,-1.12,,-1.12,,0.25,,0.61,,0.52,,0.48,,2.21,,4.17,,9.87,,5.06,,5.34,,5.83,,2.87,,3.51,,2.24,,1.22,,2.05,,-0.83,
Senegal,,,,,,,,,,,,,,,,,,,,,,,2.97,,2.34,,-0.05,,0.51,,1.71,,2.11,,5.85,,7.35,,-2.25,,1.23,,3.40,,1.42,,0.71,,-1.09,,0.14,,0.84,,1.32,
"Serbia, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.41,,8.12,,6.14,,11.14,,7.33,,7.69,,2.08,,1.39,,1.12,,3.13,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.96,,31.75,,-2.40,,2.56,,7.11,,4.34,,1.39,,4.04,,-1.02,,2.86,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.20,,7.47,,7.19,,6.79,,6.59,,5.52,,4.65,,6.69,,10.88,,18.22,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,2.10,,6.63,,0.60,,2.82,,5.25,,4.58,,2.36,,1.02,,-0.52,,-0.53,,0.58,
Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,,4.02,,2.53,,1.89,,0.33,,0.11,,2.19,
Slovak Republic,,,,,9.89,,23.29,,13.42,,9.84,,5.78,,6.14,,6.67,,10.57,,12.04,,7.33,,3.13,,8.55,,7.55,,2.71,,4.48,,2.76,,4.60,,1.62,,0.96,,3.92,,3.61,,1.40,,-0.08,,-0.33,,-0.52,,1.31,
Slovenia,552.08,,114.83,,209.93,,31.76,,20.99,,13.46,,9.86,,8.36,,7.89,,6.16,,8.91,,8.38,,7.48,,5.54,,3.59,,2.45,,2.46,,3.66,,5.65,,0.84,,1.80,,1.80,,2.60,,1.77,,0.20,,-0.53,,-0.05,,1.43,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,,0.51,,0.49,
South Africa,14.32,,15.33,,13.87,,9.72,,8.94,,8.68,,7.35,,8.60,,6.88,,5.18,,5.34,,5.70,,9.49,,5.68,,-0.69,,2.06,,3.24,,6.18,,10.06,,7.26,,4.06,,5.02,,5.72,,5.78,,6.14,,4.51,,6.59,,5.18,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,,1.17,,47.31,,45.08,,-0.04,,1.66,,52.81,,379.85,,187.85,
Spain,6.72,,5.93,,5.92,,4.57,,4.72,,4.67,,3.56,,1.97,,1.83,,2.31,,3.43,,3.59,,3.07,,3.04,,3.04,,3.37,,3.52,,2.79,,4.08,,-0.29,,1.80,,3.20,,2.45,,1.41,,-0.15,,-0.50,,-0.20,,1.96,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,,7.54,,6.91,,3.18,,3.77,,3.96,,7.70,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,,4.48,,5.30,,2.06,,0.85,,5.84,,0.82,,1.11,,0.25,,-2.30,,-0.69,,0.69,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,-0.26,,1.03,,1.46,,3.90,,2.40,,2.82,,5.55,,-0.16,,3.25,,2.77,,4.18,,1.47,,3.52,,-0.98,,-3.09,,0.12,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,0.21,,2.96,,3.73,,2.74,,7.24,,10.07,,0.42,,0.75,,3.19,,2.60,,0.81,,0.19,,-1.73,,-0.15,,2.15,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09,,35.57,,36.52,,36.91,,16.91,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.28,,6.43,,14.67,,-59.78,,-52.72,,17.71,,5.01,,1.92,,3.38,,6.89,,-13.94,,-2.93,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,,12.66,,7.45,,4.51,,6.11,,8.94,,5.62,,5.68,,4.95,,7.85,,6.22,
Sweden,10.37,,9.44,,2.37,,4.73,,2.16,,2.46,,0.53,,0.66,,-0.27,,0.46,,0.90,,2.41,,2.16,,1.93,,0.37,,0.45,,1.36,,2.21,,3.44,,-0.49,,1.16,,2.96,,0.89,,-0.04,,-0.18,,-0.05,,0.98,,1.79,
Switzerland,5.40,,5.86,,4.04,,3.29,,0.85,,1.80,,0.81,,0.52,,0.02,,0.81,,1.56,,0.99,,0.64,,0.64,,0.80,,1.17,,1.06,,0.73,,2.43,,-0.48,,0.69,,0.23,,-0.69,,-0.22,,-0.01,,-1.14,,-0.43,,0.53,
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,36.70,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43,,5.83,,5.01,,6.10,,5.71,,6.00,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,,16.00,,7.87,,6.13,,5.59,,5.17,,5.32,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,,3.01,,2.18,,1.90,,-0.90,,0.19,,0.67,
"Timor-Leste, Dem. Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50,,11.80,,11.08,,0.73,,0.55,,-1.34,,0.56,
Togo,,,,,,,,,,,,,,,,,0.98,,-0.05,,1.86,,3.92,,3.06,,-0.93,,0.39,,6.78,,2.23,,0.95,,8.69,,3.71,,1.45,,3.56,,2.58,,1.83,,0.19,,2.59,,1.29,,-0.98,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,,5.84,,10.45,,1.43,,3.53,,6.27,,1.15,,0.78,,2.51,,-1.05,,2.58,,7.44,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,5.54,,4.15,,3.81,,3.72,,6.87,,8.33,,7.89,,12.03,,6.98,,10.55,,5.11,,9.26,,5.20,,5.68,,4.66,,3.07,,1.88,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,,2.97,,4.35,,3.66,,3.34,,3.54,,5.14,,5.80,,4.94,,4.86,,3.71,,5.33,
Turkey,60.30,,65.98,,70.08,,66.09,,105.21,,89.11,,80.41,,85.67,,84.64,,64.87,,54.92,,54.40,,44.96,,21.60,,8.60,,8.18,,9.60,,8.76,,10.44,,6.25,,8.57,,6.47,,8.89,,7.49,,8.85,,7.67,,7.78,,11.14,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.56,,12.68,,4.91,,3.08,,5.59,,5.71,,5.21,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05,,12.84,,25.23,,15.88,,9.37,,7.96,,0.57,,-0.24,,12.07,,48.70,,13.91,,14.44,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,0.88,,0.88,,0.66,,1.10,,2.35,,4.07,,1.62,,1.97,
United Kingdom,8.06,,7.46,,4.59,,2.56,,2.22,,2.70,,2.85,,2.20,,1.82,,1.75,,1.18,,1.53,,1.52,,1.38,,1.39,,2.09,,2.46,,2.39,,3.52,,1.96,,2.49,,3.86,,2.57,,2.29,,1.45,,0.37,,1.01,,2.56,
United States,5.40,,4.23,,3.03,,2.95,,2.61,,2.81,,2.93,,2.34,,1.55,,2.19,,3.38,,2.83,,1.59,,2.27,,2.68,,3.39,,3.23,,2.85,,3.84,,-0.36,,1.64,,3.16,,2.07,,1.46,,1.62,,0.12,,1.26,,2.13,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.40,,8.11,,7.88,,7.06,,6.70,,8.09,,8.10,,8.58,,8.88,,8.67,,9.64,,6.22,
Vanuatu,,,,,,,,,,,,,,,,,,,2.00,,2.54,,3.58,,1.96,,3.02,,1.42,,1.20,,2.04,,3.94,,4.84,,4.30,,2.76,,0.87,,1.35,,1.46,,0.80,,2.48,,0.84,,3.08,
"Venezuela, República Bolivariana de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09,,21.07,,40.64,,62.17,,121.74,,254.95,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.68,,9.09,,6.59,,4.71,,0.88,,3.24,,3.52,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,5.58,,5.54,,2.80,,1.22,,5.71,,4.40,,3.00,,4.11,,3.84,,1.86,,9.89,,2.75,,3.75,,2.88,,2.78,,1.72,,1.73,,1.43,,-0.22,,0.21,
"Yemen, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.54,,9.89,,10.97,,8.10,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,,6.58,,6.98,,7.81,,10.11,,17.87,,6.58,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,3.48,,3.72,,1.63,,-0.21,,-2.41,,-1.57,,0.91,
